Comment: 
Version: 2.3 [3.0.8263]
File Name: C:\Users\Algiz 8X\Desktop\230621_toma5\cavendish\PSR-1100f_SN22A44H3_00040.sed
Instrument: PSR-1100f_22A44H3
Detectors: 512,0,0
Measurement: REFLECTANCE
Date: 06/21/2023,06/21/2023
Time: 10:49:25.71,11:02:42.55
Temperature (C): 29.04,31.29
Battery Voltage: 8.27,8.20
Averages: 10,10
Integration: 23,100
Dark Mode: AUTO,AUTO
Foreoptic: FIBER1 {RADIANCE},FIBER1 {RADIANCE}
Radiometric Calibration: RADIANCE
Units: W/m^2/sr/nm
Wavelength Range: 320,1100
Latitude: n/a
Longitude: n/a
Altitude: n/a
UTC Time: n/a
Satellites: n/a
Calibrated Reference Correction File: Sticker
Channels: 781
Columns [2]:
Data:
Wvl	Reflect. %
320.0	19.8450
321.0	20.0628
322.0	20.3388
323.0	20.7914
324.0	21.0996
325.0	21.2186
326.0	20.8421
327.0	19.2714
328.0	17.1724
329.0	15.1297
330.0	14.3290
331.0	13.7036
332.0	12.7762
333.0	10.8475
334.0	11.0348
335.0	11.5502
336.0	9.8887
337.0	9.0914
338.0	8.8476
339.0	8.6624
340.0	9.2907
341.0	10.0881
342.0	10.2107
343.0	8.9865
344.0	7.6067
345.0	6.9355
346.0	5.8117
347.0	4.5671
348.0	3.4384
349.0	3.4616
350.0	3.9690
351.0	4.4914
352.0	5.6858
353.0	6.6425
354.0	6.6563
355.0	6.1999
356.0	5.6331
357.0	5.0903
358.0	4.0477
359.0	3.3471
360.0	3.2552
361.0	2.7521
362.0	2.3968
363.0	2.3842
364.0	2.5901
365.0	2.6712
366.0	2.5021
367.0	2.4581
368.0	2.5679
369.0	2.7454
370.0	2.5604
371.0	2.4013
372.0	2.3940
373.0	2.7278
374.0	3.0690
375.0	3.2686
376.0	3.0341
377.0	2.7036
378.0	2.4081
379.0	2.4104
380.0	2.1810
381.0	1.7237
382.0	1.5707
383.0	1.4914
384.0	1.4808
385.0	1.6803
386.0	2.0972
387.0	2.6485
388.0	3.2402
389.0	3.3031
390.0	3.0757
391.0	3.2817
392.0	3.2005
393.0	2.8925
394.0	2.6058
395.0	2.6195
396.0	2.8096
397.0	2.8511
398.0	2.6084
399.0	2.2565
400.0	2.2410
401.0	2.2443
402.0	2.2158
403.0	2.1032
404.0	1.9989
405.0	1.9234
406.0	1.9018
407.0	1.9045
408.0	1.8954
409.0	1.7732
410.0	1.8294
411.0	2.0166
412.0	2.1925
413.0	2.1295
414.0	1.9011
415.0	1.7010
416.0	1.7309
417.0	1.9150
418.0	2.0503
419.0	2.0277
420.0	1.8820
421.0	1.7168
422.0	1.5523
423.0	1.4549
424.0	1.5565
425.0	1.8325
426.0	2.1249
427.0	2.0654
428.0	2.0696
429.0	2.0896
430.0	1.9033
431.0	1.7861
432.0	1.7543
433.0	1.8136
434.0	1.6251
435.0	1.3809
436.0	1.6462
437.0	1.6809
438.0	1.5823
439.0	1.7623
440.0	1.8528
441.0	1.7993
442.0	1.5226
443.0	1.4097
444.0	1.4604
445.0	1.6015
446.0	1.6162
447.0	1.5487
448.0	1.5929
449.0	1.6824
450.0	1.7756
451.0	1.7381
452.0	1.6906
453.0	1.6804
454.0	1.8078
455.0	1.8958
456.0	1.8924
457.0	1.7374
458.0	1.6317
459.0	1.6422
460.0	1.8767
461.0	1.9951
462.0	1.8930
463.0	1.7297
464.0	1.6005
465.0	1.5670
466.0	1.7196
467.0	1.8448
468.0	1.8540
469.0	1.8326
470.0	1.7417
471.0	1.5914
472.0	1.7418
473.0	1.9021
474.0	1.8618
475.0	1.7649
476.0	1.7153
477.0	1.7966
478.0	1.8136
479.0	1.8136
480.0	1.8255
481.0	1.8207
482.0	1.8176
483.0	1.8437
484.0	1.8243
485.0	1.8156
486.0	1.9064
487.0	1.8532
488.0	1.7393
489.0	1.8109
490.0	1.8288
491.0	1.8197
492.0	1.9030
493.0	1.9785
494.0	2.0165
495.0	1.9306
496.0	1.8886
497.0	1.9325
498.0	2.0797
499.0	2.1996
500.0	2.2535
501.0	2.1742
502.0	2.1329
503.0	2.2001
504.0	2.3015
505.0	2.3999
506.0	2.4675
507.0	2.5386
508.0	2.6249
509.0	2.7352
510.0	2.7622
511.0	2.7972
512.0	2.9315
513.0	3.0622
514.0	3.2188
515.0	3.4498
516.0	3.6231
517.0	3.7453
518.0	3.8512
519.0	3.9678
520.0	4.0922
521.0	4.1966
522.0	4.3541
523.0	4.5528
524.0	4.6684
525.0	4.7830
526.0	4.9158
527.0	5.0299
528.0	5.1453
529.0	5.2683
530.0	5.3802
531.0	5.4826
532.0	5.5756
533.0	5.6572
534.0	5.7228
535.0	5.7644
536.0	5.8085
537.0	5.8537
538.0	5.8987
539.0	5.9224
540.0	5.9397
541.0	5.9952
542.0	6.0188
543.0	6.0172
544.0	6.0783
545.0	6.1269
546.0	6.1474
547.0	6.2147
548.0	6.2650
549.0	6.2632
550.0	6.2597
551.0	6.2588
552.0	6.2650
553.0	6.3198
554.0	6.3665
555.0	6.3222
556.0	6.3371
557.0	6.3798
558.0	6.3526
559.0	6.3221
560.0	6.2963
561.0	6.2742
562.0	6.2294
563.0	6.1579
564.0	6.1186
565.0	6.0933
566.0	6.0749
567.0	6.0050
568.0	5.9048
569.0	5.7858
570.0	5.6990
571.0	5.6387
572.0	5.6050
573.0	5.5356
574.0	5.4422
575.0	5.3755
576.0	5.3241
577.0	5.2801
578.0	5.2020
579.0	5.1297
580.0	5.0787
581.0	5.0514
582.0	5.0205
583.0	4.9647
584.0	4.9100
585.0	4.8566
586.0	4.8051
587.0	4.7579
588.0	4.7210
589.0	4.7222
590.0	4.6867
591.0	4.6149
592.0	4.6076
593.0	4.6133
594.0	4.6103
595.0	4.5465
596.0	4.4925
597.0	4.5009
598.0	4.4737
599.0	4.4452
600.0	4.4857
601.0	4.4583
602.0	4.3878
603.0	4.3851
604.0	4.3842
605.0	4.3663
606.0	4.3154
607.0	4.2751
608.0	4.2709
609.0	4.2383
610.0	4.1991
611.0	4.1742
612.0	4.1240
613.0	4.0668
614.0	4.0545
615.0	4.0284
616.0	3.9867
617.0	3.9783
618.0	3.9578
619.0	3.9090
620.0	3.8599
621.0	3.8205
622.0	3.8051
623.0	3.8043
624.0	3.8005
625.0	3.7581
626.0	3.7351
627.0	3.7363
628.0	3.7366
629.0	3.7408
630.0	3.7492
631.0	3.7619
632.0	3.7674
633.0	3.7542
634.0	3.7045
635.0	3.6468
636.0	3.6348
637.0	3.5982
638.0	3.5309
639.0	3.4574
640.0	3.3836
641.0	3.3121
642.0	3.2383
